Author,Name,Pattern,en.name,en.description,he.name,he.description,ru.name,ru.description,de.name,de.description,es.name,es.description,tr.name,tr.description,ua.name,ua.description
bs,Akdamot,,Prefaces,,הקדמות,,,,,,,,,,,
bs,Igrot,,Letters,,אגרות,,,,,,,,,,,
bs,Maamarim,,Articles,,מאמרים,,,,,,,,,,,
bs,TES,,TES,Study of the Ten Sefirot,"תע""ס",תלמוד עשר הספירות,ТЭС,Учение Десяти Сфирот,TES,Talmud Esser HaSfirot,TES,Talmud Esser Sefirot,TES,,ТЕС,Вчення Десяти Сфірот
bs,Shamati,,Shamati,,שמעתי,,,,,,,,,,,
rb,Akdamot,,Prefaces,,הקדמות,,,,,,,,,,,
rb,Igrot,,Letters,,אגרות,,,,,,,,,,,
rb,Maamarim,,Articles,,מאמרים,,,,,,,,,,,
rb,Records,,Records,,רשומות,,,,,,,,,,,
rb,MeHester LeGilui,,Concealment and Revelation,,מהסתר לגילוי,,,,,,,,,,,
rb,Biur Pticha,rb-biur-pticha,Biur Pticha,,ביאור פתיחה,"ביאור למאמר ""פתיחה לחכמת הקבלה""",Пояснение к Птихе,,,,Explicación de Introducción,Explicación de Introducción a la Sabiduría de la Cabalá,,,Пояснення до Птіхи,
rb,Ktaim Nivcharim,,Selected Excerpts,,קטעים נבחרים,,,,,,,,,,,
ml,Maamarim,,Articles,,מאמרים,,,,,,,,,,,
mr,Tora,,Tora,,תורה,,,,,,,,,,,
rh,Zohar La Am,zohar-la-am,Zohar for Everyone,,זוהר לעם,,,,,,,,,,,
ar,Shaar Hakavanot,ar-shaar-hakavanot,Gatehouse of Intentions,,שער הכוונות,,,,,,,,,,,