kmedia_id,kmedia_name,Active,Language,"kmedia_pattern(selected, i.e. has more)",mdb_pattern,en.name,he.name,ru.name,es.name,de.name,ua.name,zh.name
4002,Channel Kabbalah_plus/rus/Doma lucshe,,,,channel-kabbalah-plus-rus-doma-lucshe,There is No Place Like Home,אין כמו בבית,Дома лучше,,,,
3921,Channel Kabbalah_plus/rus/Films,,,,channel-kabbalah-plus-rus-films,Films,סרטים,Фильмы,,,,
3931,Channel Kabbalah_plus/rus/Interview,,,,channel-kabbalah-plus-rus-interview,Interviews,ראיונות,Интервью,,,,
4307,Channel Kabbalah_plus/rus/Kabbalah i sotzium,,,,channel-kabbalah-plus-rus-kabbalah-i-sotzium,Kabbalah and Society,קבלה וחברה,Каббала и социум,,,,
4153,Channel Kabbalah_plus/rus/Kabbalisticheskaya psihologia,,,,channel-kabbalah-plus-rus-kabbalisticheskaya-psihologia,Kabbalistic Psychology,פסיכולוגיה וקבלה,Каббалистическая психология,,,,
4313,Channel Kabbalah_plus/rus/Neizvestnie psalmi,,,,channel-kabbalah-plus-rus-neizvestnie-psalmi,Psalms,תהילים עכשיו,Неизвестные псалмы,,,,
4001,Channel Kabbalah_plus/rus/Perci,,,,channel-kabbalah-plus-rus-perci,Wisecrackers,מתפלפלים,Перчики,,,,
4198,Channel Kabbalah_plus/rus/Pochuvstvovat zohar,,,,channel-kabbalah-plus-rus-pochuvstvovat-zohar,To Feel the Zohar,להרגיש זוהר,Почувствовать Зоар,,,,
4136,Channel Kabbalah_plus/rus/Sila knigi Zohar,,,,channel-kabbalah-plus-rus-sila-knigi-zohar,The Power of Book Zohar,כוח של ספר הזוהר,Сила книги Зоар,,,,
4534,Channel Kabbalah_plus/rus/telemost,,,,channel-kabbalah-plus-rus-telemost,Teleconference,ועידה,Телемост,,,,
3935,Channel Kabbalah_plus/rus/Theater,,,,channel-kabbalah-plus-rus-theater,Theater,תיאטרון,Театр,,,,
3973,Channel Kabbalah_plus/rus/Tochniyot shonot,,,,channel-kabbalah-plus-rus-tochniyot-shonot,Miscellaneous Shows,תוכניות שונות,Разное,,,,
3920,Channel Kabbalah_plus/rus/VirtualLessonsRus,,,,channel-kabbalah-plus-rus-virtuallessonsrus,Virtual lessons in Russian,שיעורים הוירטואליים ברוסית,Виртуальные уроки на русском,,,,
4003,Channel Kabbalah_plus/rus/Voprosi v puti,,,,channel-kabbalah-plus-rus-voprosi-v-puti,Questions on the Way,שאלות בדרך,Серия уроков. Вопросы в пути,,,,
3925,films,,,films,films,Films,סרטים,Фильмы,,,,
2186,lecture_havaya-veshma-kabbalah,,HEB,,lecture-havaya-veshma-kabbalah,Experience and what Kabbalah,חוויה ושמה קבלה,Приключение под названием Каббала,,,,
4508,lecture_kabbalah-hoveket-olam,,HEB,,lecture-kabbalah-hoveket-olam,Kabbalah in the world,קבלה חובקת עולם,Каббала на карте мира,,,,
4509,lecture_kabbalah-nakarte-mira,,RUS,,lecture-kabbalah-nakarte-mira,Kabbalah in the world,קבלה חובקת עולם,Каббала на карте мира,,,,
4574,lecture_rus-israel,,,lecture_rus-israel,lecture-rus-israel,Lecture Rav in Israel,הרצאת הרב בישראל,Лекция Рава в Израиле,,,,
4187,lesson_parashat-ashavua,,HEB,lesson_parashat-ashavua,lesson-parashat-ashavua,Weekly Torah Portion,פרשת השבוע,"Тора, Недельная глава",Capítulo semanal de Tora,,,
4438,program_20-ideas,,HEBׂׂׂ(Rav) + eng,,20-ideas,20 Ideas,20 רעיונות,20 идей,,,,
6944,program_aguda-ahat,,HEB,program_aguda-ahat,aguda-ahat,Like a Bundle of Reeds,כאגודה אחת,Как в одном единении,,,,
3831,program_ahat-al-ahat,,HEB,,ahat-al-ahat,One to One,אחת על אחת,Один на один,,,,
4434,program_ahshav-ani,V,HEB,program_ahshav-ani,ahshav-ani,Now it's My Turn,עכשיו אני,Узнать о себе,,,,
4501,program_akol-patuah,,HEB,,akol-patuah,Open,הכל פתוח,Всё открыто,,,,
6934,program_am-israel,,HEB,program_am-israel,am-israel,The People of Israel,עם ישראל,Народ Израиля,,,,
4454,program_among-friends,,ENG,,among-friends,Among Friends,בין חברים,Среди друзей,,,,
3985,program_ani-vekabbalah,,HEB,,ani-vekabbalah,I am and Kabbalah,אני והקבלה,Я и каббала,,,,
4573,program_arevim-ze-laze,,HEB,,arevim-ze-laze,The Mutual Guarantee,ערבים זה לזה,Взаимное поручительство,,,,
4707,program_asakim-hadashim,,HEB,program_asakim-hadashim,asakim-hadashim,New Business,עסקים חדשים,Новая экономика,,,,
4721,program_auma,,HEB,program_auma,auma,The Nation,האומה,Народ,,,,
4086,program_badereh-shelah,,HEB,,badereh-shelah,In Your Own Way,בדרך שלך,Путь женщины,,,,
3857,program_bein-horim-le-eladim,,HEB,,bein-horim-le-eladim,Between Parents and Children,בין הורים וילדים,Между родителями и детьми,,,,
3961,program_beit-sefer-lehorim,,HEB,,beit-sefer-lehorim,Parenting School,בית ספר להורים,Школа для родителей,,,,
4277,program_beota-sira,,HEB,,beota-sira,In the Same Ship,באותה סירה,В одной лодке,,,,
3893,program_beruah-hag,,HEB,,beruah-hag,The Spirit of the Holiday,ברוח החג,В духе праздника,,,,
4453,program_business-new-reality,,ENG,,business-new-reality,Business and the new reality,עסקים והמציאות החדשה,Бизнес и новая реальность,,,,
4520,program_chelovek-matritzi,,RUS,,chelovek-matritzi,Matrix Man,אדם של מטריצה,Человек матрицы,,,,
4444,program_contundente,,,,contundente,Decisions,הכרעות,Решения,,,,
7959,program_crossroads,,ENG,program_crossroads,crossroads,Crossroads,פרשת דרכים,Перекресток,Encrucijada,,Перехрестя,
3841,program-effect-parpar,,HEB,,effect-parpar,Butterfly Effect,אפקט פרפר,Эффект бабочки,,,,
3684,program_ein-kmo-babait,,HEB,,ein-kmo-babait,There is No Place Like Home,אין כמו בבית,Лучше - дома,,,,
4730,program_europe-group,,HEB,program_europe-group,europe-group,The lesson for the European groups,שיעור לקבוצות אירופה,Урок для Европейских групп,,,,
3944,program_formula-schastya,,RUS,,formula-schastya,The Happiness Formula,פורמולה של אושר,Формула счастья,,,,
7867,program_globalniy-krizis,,RUS,program_globalniy-krizis,globalniy-krizis,The Global Crisis,משבר גלובלי,Глобальный кризис,,,,
6952,program_goryachaya-tema,,RUS,program_goryachaya-tema,goryachaya-tema,Hot Topic,נושא חם,Горячая тема,,,,
4843,program_haim-hadashim,V,HEB,,haim-hadashim,A New Life,חיים חדשים,Новая жизнь,Una vida nueva,,,
4735,program_haim-hadashim-ktaim,V,HEB,program_haim-hadashim-ktaim,haim-hadashim-ktaim,A New Life. Excerpts,חיים חדשים. קטעים,Новая жизнь. Фрагменты,Una vida nueva. Extractos,,,
7860,program_hevruta,,HEB,program_hevruta,hevruta,Company,חברותא,Компания,,,,
4839,program_hinuh-integrali,,HEB,program_hinuh-integrali,hinuh-integrali,The Wisdom of Connection,חכמת החיבור,Интегральное взаимодействие,Sabiduría de la conexión,,,
4519,program_hinuh-patuah,,HEB,,hinuh-patuah,Open education,חינוך פתוח,Открытое воспитание,,,,
4771,program_hohmat-alev,,HEB,program_hohmat-alev,hohmat-alev,The Wise Heart,חוכמת הלב,Мудрость сердца,,,,
4441,program_inner-stream,,ENG,,inner-stream,Inner Stream,זרימה פנימית,Откровенный разговор,,,,
4777,program_integral-education,,,program_integral-education,integral-education,The Wisdom of Connection,חכמת החיבור,Интегральное взаимодействие,Sabiduría de la conexión,,,
4578,program_integral-mir,,RUS,program_integral-mir,integral-mir,The Integrated World,עולם אינטגרלי,Интегральный мир,,,,
4650,program_integral-social,,RUS,program_integral-social,integral-social,The Foundations of Integral Society,יסודות חברה אינטגרלית,Основы интегрального общества,,,,
4704,program_jtimes,,HEB,program_jtimes,jtimes,Jtimes,Jtimes,Jtimes,,,,
4767,program_kabbalah-lemathil,,HEB,,kabbalah-lemathil,Kabbalah for Beginners,קבלה למתחיל,Каббала для начинающих,,,,
4755,program_kadrovie-sekreti,,RUS,program_kadrovie-sekreti,kadrovie-sekreti,HR Secrets Revealed,סודות משאבי אנוש,Кадровые секреты,,,,
4304,program_katan-aleinu,,HEB,,katan-aleinu,Without Ceremony,קטן עלינו,Запросто,,,,
3943,program_kfar-globali,,,,kfar-globali,Global Village,כפר גלובלי,Глобальная деревня,,,,
3950,program_kohav-metukan,,HEB,,kohav-metukan,The Corrected Planet,הכוכב המתוקן,Идеальная планета,,,,
6958,program_korotkie-istorii,,RUS,program_korotkie-istorii,korotkie-istorii,Short stories,סיפורים קצרים,Короткие истории,,,,
3982,program_krupnim-planom,,RUS,,krupnim-planom,Closeup,מבט מקרוב,Крупным планом,,,,
4126,program_kulanu-yahad,,HEB,,kulanu-yahad,All together,כולנו יחד,Все вместе,,,,
4722,program_kurs-arvut,,HEB,program_kurs-arvut,kurs-arvut,The Course of Mutual Guarantee,קורס ערבות,Курс Поручительства,,,,
4654,program_lc,V,RUS,program_lc,lc,Learning Center,שיעור וירטואלי,Виртуальный класс,Lección virtual,Der virtuelle Unterricht,,
27,program_lc_rus,,?,,lc-rus,Virtual lessons in Russian,השיעורים הוירטואליים ברוסית,Виртуальные уроки на русском - мак онлайн,,,,
4135,program_lehargish-zohar,,HEB,,lehargish-zohar,To Feel the Zohar,להרגיש זוהר,Почувствовать Зоар,,,,
8016,program_lessons-chinese,,,,lessons-chinese,卡巴拉中文课程 (Lessons in Chinese),שיעורים בסינית,Уроки на китайском,,,,卡巴拉中文课程
3890,program_ligdol-be-keif,,HEB,,ligdol-be-keif,To Grow with Pleasure,לגדול בכיף,Расти в радости,,,,
7950,program_limud-atzmi,,HEB - Clip,program_limud-atzmi,limud-atzmi,Self-study,לימוד עצמי,Самоучитель,,,,
3823,program_lomdim-beyachad,,HEB,,lomdim-beyachad,Studying Together,לומדים ביחד,Учимся вместе,,,,
4598,program_maabada,,HEB,,maabada,The Laboratory,המעבדה,Лаборатория,,,,
3678,program_magazin,,HEB,,magazin,Magazine,המגזין,Журнал,,,,
3681,program_marshmelo,,HEB,,marshmelo,Marshmello's Class,הכיתה של מרשמלו,В классе у Маршмелло,,,,
4505,program_ma-shebeineinu,,,program_ma-shebeineinu,ma-shebeineinu,Between Us,מה שבינינו,Между нами,,,,
3984,program_mashehu-aleinu,,HEB,,mashehu-aleinu,Something About Us,משהו עלינו,Кое что о нас,,,,
3880,program_matanot,,HEB,,matanot,Presents,מתנות,Подарки,,,,
3949,program_meahorei-klaim,,HEB,,meahorei-klaim,Backstage with,מאחורי הקלעים,За кулисами,,,,
4766,program_meahorei-milim,,HEB,program_meahorei-milim,meahorei-milim,Behind the Words,מאחורי המילים,За словами,,,,
4769,program_medizina-budushego,,RUS,program_medizina-budushego,medizina-budushego,Medicine of the future,הרפואה של העתיד,Медицина будущего,,,,
3834,program_meira-ve-haverim,,HEB,,meira-ve-haverim,Meira and her friends,מאירה והחברים,Меира и друзья,,,,
7863,program_meirim-zohar,,,,meirim-zohar,Meirim et HaZoar,מאירים את הזוהר,Освещаем Зоар,,,,
3879,program_mekubalim-gdolim,,HEB,,mekubalim-gdolim,Great Kabbalists,המקובלים הגדולים,Великие каббалисты,,,,
3687,program_mekubalim-kotvim,V,HEB,program_mekubalim-kotvim,mekubalim-kotvim,Kabbalists Write,מקובלים כותבים,Каббалисты пишут,,,,
4780,program_mifgash-kvuzot,,HEB,program_mifgash-kvuzot,mifgash-kvuzot,Weekly meeting with groups,מפגש שבועי עם קבוצות,Еженедельная встреча с группами,,,,
4276,program_mishak-yeladim,,HEB,,mishak-yeladim,Child's Play,משחק ילדים,Детские игры,,,,
4302,program_mishpaha-ahat,,HEB,,mishpaha-ahat,One Family,משפחה אחת,Одна семья,,,,
4390,program_mithabrim-letov,,HEB,,mithabrim-letov,Connecting for Good,מתחברים לטוב,Присоединяемся к добру,,,,
4577,program_mitkonenim-lekenes,,HEB,program_mitkonenim-lekenes,mitkonenim-lekenes,Getting ready for the congress,מתכוננים לכנס,Готовимся к конгрессу,,,,
3881,program_mitpalpelim,,HEB,,mitpalpelim,Wisecrackers,מתפלפלים,Перчики,,,,
4294,program_morim-dereh,,HEB,,morim-dereh,Leading the way,מורים דרך,Прокладывая путь,,,,
4790,program_mudrost-tolpi,,RUS,program_mudrost-tolpi,mudrost-tolpi,The Wisdom of Crowd,חוכמת המונים,Мудрость толпы,,,,
3983,program_mumhim,,HEB,,mumhim,Experts,המומחים,Эксперты,,,,
3884,program_nashim,,HEB,,nashim,Woman's,נשים,Женщины,,,,
3690,program_nekuda,V,HEB,,nekuda,A Point in the Heart,הנקודה שבלב,Точка в сердце,,,,
709,program_nekudashebalev,,,,nekudashebalev,"Lectures from ""Nekuda she ba lev"" center","הרצאות במרכז ""נקודה שבלב""","Лекции в учебном центре ""Некуда ше ба лев""",,,,
3685,program_nifgashim-im-kabbalah,V,HEB,,nifgashim-im-kabbalah,Meetings with Kabbalah,נפגשים עם קבלה,Встречи с каббалой,,,,
4499,program_nigunim-shebalev,,HEB,,nigunim-shebalev,Melodies of the Heart,ניגונים שבלב,Мелодии в сердце,,,,
4786,program_olamot-nifgashim,,HEB,program_olamot-nifgashim,olamot-nifgashim,The Meeting of Worlds,עולמות נפגשים,Встреча Миров,,,,
3891,program_olam-yeladim,,,,olam-yeladim,Children's World,עולם ילדים,Детский мир,,,,
3679,program_parashat-ashavua_gil-kopach,,HEB,program_parashat-ashavua-v,parashat-ashavua-gil-kopach,Weekly Torah Portion with Gil Kopach,פרשת השבוע עם גיל קופטש,Недельная глава Торы с Гилем Копачем,,,,
6957,program_parashat-ashavua-v,,HEB,,parashat-ashavua-v,Weekly Torah Portion with Shmuel Vilozhni,פרשת השבוע עם שמואל וילוז'ני,Недельная глава со Шмуелем Виложным,,,,
3974,program_pilpelonim,,HEB,,pilpelonim,Wisecrackers: Children Edition,פילפלונים,Перчата,,,,
3930,program_piramida-zhelaniy,,RUS,,piramida-zhelaniy,The Pyramid of Desires,הפירמידה של רצונות,Пирамида желаний,,,,
4718,program_pitaron,V,HEB,program_pitaron,pitaron,The Solution,הפתרון,Pешение,La Solución,,,
4452,program_point,,ENG,,point,The Point,הנקודה שבלב,Точка в сердце,,,,
7871,program_poslednee-pokolenie,,RUS,program_poslednee-pokolenie,poslednee-pokolenie,The Last Generation,הדור אחרון,Последнее поколение,,,,
4476,program_pothim-behinuh,,HEB,,pothim-behinuh,Essentials of education,פותחים בחינוך,Основы воспитания,,,,
3904,program_pothim-zohar,,HEB,,pothim-zohar,Opening the Zohar,פותחים את הזוהר,"Открывая ""Зоар""",,,,
4668,program_profiles,,ENG,,profiles,Profiles,פרופילים,Профили,,,,
4301,program_prokladivaya-put,,HEB,,prokladivaya-put,Leading the way,מורים דרך,Прокладывая путь,,,,
6973,program_radio103fm,,HEB,program_radio103fm,radio103fm,Radio 103 FM,רדיו 103 FM,Радио 103 FM,Radio 103 FM,,,
4275,program_ravvsakm-paths,,HEB + Eng transl. ,,ravvsakm-paths,Paths,נתיבים,Пути,,,,
3885,program_regaim-ktanim,,HEB,,regaim-ktanim,Little Moments,רגעים קטנים,Важные мелочи жизни,,,,
4692,program_sadna,,HEB,program_sadna,sadna,Workshops,סדנאות,Семинар,Taller de unidad,Der Seminar  der Einheit,,
6956,program_sefer-israel,,HEB,,sefer-israel,Book about Israel,ספר על ישראל,Книга об Израиле,,,,
4445,program_senderos,,,,senderos,Trails,שבילים,Тропы,,,,
3830,program_shaat-sipur,,HEB,,shaat-sipur,The Story Hour,שעת סיפור,Время сказок,,,,
3887,program_shadran-laila,,HEB,,shadran-laila,The Late Show Host,שדרן לילה,Ночной ведущий,,,,
3514,program_shal-mekubal,,HEB,,shal-mekubal,Ask the kabbalist,שאל את המקובל,Спроси каббалиста,,,,
4118,program_sheela-shel-hinuh,,HEB,,sheela-shel-hinuh,Education Issues,שאלה של חינוך,Вопросы воспитания,,,,
6940,program_shesh-66,,HEB,program_shesh-66,shesh-66,At six on 66,שש בשישים ושש,В шесть на шестьдесят шестом,,,,
4521,program_shevet-ahim,,HEB,,shevet-ahim,Shevet Ahim,שבת אחים,Собрание товарищей,,,,
7873,program_shir-meamakor,,HEB,program_shir-meamakor,shir-meamakor,A song from the source,שיר מהמקור,Песня из источника,Una canción de la fuente,,,
3871,program_shir-mi-sharvul,,HEB,,shir-mi-sharvul,A Song Out of the Sleeve,שיר מהשרוול,Песни из рукава,,,,
4464,program_shiur-lahaim,,HEB,,shiur-lahaim,Life Lessons,שיעור לחיים,Уроки жизни,,,,
3674,program_shlavei-sulam,,HEB,,shlavei-sulam,Shlavei Sulam,שלבי הסולם,Шлавей сулам,,,,
3859,program_shneinu-yahad,,HEB,,shneinu-yahad,Together We Are,שנינו יחד,Двое вместе,,,,
3883,program_signon-haim,,HEB,,signon-haim,Lifestyle,סגנון חיים,Стиль жизни,,,,
4542,program_sihot,,MLT,program_sihot,sihot,Talks,שיחות,Беседы,,,,
24,program_sihot-old,,,,sihot-old,Talks,שיחות,Беседы,,,,
4791,program_sihot_seuda,,HEB,program_sihot_seuda,sihot-seuda,Meals,סעודות,Трапезы,Comidas,,,
4091,program_sipur-ruhani,,HEB,,sipur-ruhani,A Spiritual Story with Eran Kurtz,סיפור רוחני עם ערן קורץ,Рассказы о духовном с Эраном Курц,,,,
4764,program_skvoz-vremia,,,program_skvoz-vremia,skvoz-vremia,Through the Time,מעל הזמן,Сквозь время,,,,
4500,program_sviva-tova,,,,sviva-tova,Good environment,סביבה טובה,Правильное окружение,,,,
3828,program_taam-or,,HEB,,taam-or,A Taste of Light,טעם של אור,Ощущение света,,,,
3955,program_taini-vechnoy-knigi,,RUS,program_taini-vechnoy-knigi,taini-vechnoy-knigi,Secrets of the Eternal Book,סודות של הספר הנצחי,Тайны вечной книги,Los secretos del Libro Eterno,,,
4266,program_tehilim,,HEB,,tehilim,Psalms,תהילים עכשיו,Псалмы,,,,
4792,program_tnuat-hasidut,,HEB,program_tnuat-hasidut,tnuat-hasidut,Hasidism,תנועת החסידות‬‎,Хасидизм,,,,
4498,program_tofsim-olam,,HEB,,tofsim-olam,Perceive the world,תופסים את העולם,Познаём мир,,,,
4840,program_tora-sod,,,,tora-sod,The Secrets of Torah,"תורת הסוד, הקסם של ספר הספרים",Таинства Торы,,,,
4479,program-uznat-o-sebe,,,,uznat-o-sebe,Now it's My Turn,עכשיו אני,Узнать о себе,,,,
6941,program_vavilon-vchera-isegodnia,,RUS,program_vavilon-vchera-isegodnia,vavilon-vchera-isegodnia,Babylon Yesterday and Today,בבל של אתמול ושל היום,Вавилон вчера и сегодня,,,,
3589,program_virtual-group-israel,,HEB,,virtual-group-israel,Lessons for Virtual Group,שיעורים לקבוצה ווירטואלית,Уроки для виртуальной группы,,,,
120,program_yeshivat-haverim,V,HEB,program_yeshivat-haverim,yeshivat-haverim,Yeshivat Haverim,ישיבת חברים,Мировые Ешивот Хаверим,Reunión Mundial de Amigos,Ein Globale Yeshivat Haverim,,
4300,program_yesodot,,HEB,,yesodot,Basics,יסודות,Основы,,,,
4518,program_zmanim-tovim,,HEB,,zmanim-tovim,Good time,זמנים טובים,Хорошее время,,,,
3842,program_zohakim-be-yahad,,HEB,,zohakim-be-yahad,Laughing Together,צוחקים ביחד,Смеёмся вместе,,,,
3946,promo-heb,,,,promo-heb,Promos,פרומו,Рекламные ролики,,,,
4511,tv-program-heb,,,,tv-program-heb,Hebrew,עברית,Иврит,,,,
4042,tv-program-spa,,,,tv-program-spa,Spanish,ספרדית,Испанский,,,,